species,elev_med,elev_iqr,elev_q.25.,elev_q.75.
Chamaecrista_anceps,1348,211.5,1139.5,1351
Chamaecrista_aristata,848,214,729,943
Chamaecrista_arrojadoana,1113.5,425.5,882.25,1307.75
Chamaecrista_basifolia,892,408,630,1038
Chamaecrista_biensis,1274,436,1008,1444
Chamaecrista_blanchetii,921,501,604.5,1105.5
Chamaecrista_brachystachya,978,372.5,774,1146.5
Chamaecrista_burchellii,529.5,109.25,510.25,619.5
Chamaecrista_calycioides,299,313,143,456
Chamaecrista_cardiostegia,1162,308,952,1260
Chamaecrista_caribaea,5.5,7.25,2.5,9.75
Chamaecrista_choriophylla,974.5,384.5,764.25,1148.75
Chamaecrista_cinerascens,1295,358,988.5,1346.5
Chamaecrista_confertiformis,1017,187,953.5,1140.5
Chamaecrista_coriacea,1169,269,916.5,1185.5
Chamaecrista_cultrifolia,139,133,72.5,205.5
Chamaecrista_cytisoides,923,407.75,691,1098.75
Chamaecrista_debilis,886,339,760,1099
Chamaecrista_decora,815,323.5,756.5,1080
Chamaecrista_depauperata,1433,212,1314,1526
Chamaecrista_desvauxii,676.5,707.75,326.75,1034.5
Chamaecrista_diphylla,165,335,44.5,379.5
Chamaecrista_distichoclada,1257,138,1147,1285
Chamaecrista_duckeana,228,191,137,328
Chamaecrista_fasciculata,953.5,909.5,325.5,1235
Chamaecrista_flexuosa,507,613,198,811
Chamaecrista_glandulosa,699,1240.5,121.5,1362
Chamaecrista_gonoclada,487,163,479,642
Chamaecrista_grantii,1047,1149,485.25,1634.25
Chamaecrista_greggii,1184,1250,425,1675
Chamaecrista_kirkii,696,1073.5,378,1451.5
Chamaecrista_kleinii,947,0,947,947
Chamaecrista_kunthiana,510.5,670.75,165,835.75
Chamaecrista_lagotois,921,130,827,957
Chamaecrista_latifolia,1278.5,181.25,1156,1337.25
Chamaecrista_latistipula,847,657,407,1064
Chamaecrista_leptadenia,1156,1054.75,597.75,1652.5
Chamaecrista_lineata,38.5,151.75,7.75,159.5
Chamaecrista_mimosoides,201,190,61,251
Chamaecrista_mucronata,1015.5,443.5,812.25,1255.75
Chamaecrista_multinervia,841,243,738.25,981.25
Chamaecrista_nictitans,518,779,144,923
Chamaecrista_nigricans,182.5,95.5,134.75,230.25
Chamaecrista_olesiphylla,1152,321,956.25,1277.25
Chamaecrista_oligandra,1282,0,1282,1282
Chamaecrista_parvistipula,719,480,537,1017
Chamaecrista_pascuorum,485,605.5,373.5,979
Chamaecrista_pilosa,312,409,126,535
Chamaecrista_potentilla,1115,181,1020.5,1201.5
Chamaecrista_pumila,166,221.5,135,356.5
Chamaecrista_ramosa,651.5,888.5,114.75,1003.25
Chamaecrista_repens,598,500,404.75,904.75
Chamaecrista_roraimae,824,319.75,663.25,983
Chamaecrista_rossicorum,1233,148,1111,1259
Chamaecrista_rotundata,1158,331,953,1284
Chamaecrista_rotundifolia,548,703.5,231.5,935
Chamaecrista_rufa,959,1028,316,1344
Chamaecrista_serpens,331,493.5,118,611.5
Chamaecrista_simplifacta,1206,106.5,1135.5,1242
Chamaecrista_supplex,404,265.25,208.5,473.75
Chamaecrista_swainsonii,447.5,617.5,148,765.5
Chamaecrista_tenuisepala,458,383,299,682
Chamaecrista_tragacanthoides,1175.5,329.25,957,1286.25
Chamaecrista_trichopoda,629.5,503.75,414.5,918.25
Chamaecrista_ulmea,1003.5,266.75,839,1105.75
Chamaecrista_unijuga,12,75,8,83
Chamaecrista_venulosa,1249,352.75,1011,1363.75
Chamaecrista_wittei,1854,598,1648,2246
